Date,DOY,U,Ta,RH min,ETo,Precip,hc,Irr
15-May-2005,135,1.22,32.91,34.28,4.84,,0.02,
16-May-2005,136,1.19,35.88,35.35,5.35,,0.03,18.7
17-May-2005,137,1.06,35.97,39.80,5.35,,0.04,
18-May-2005,138,1.65,35.21,42.21,5.35,,0.05,10.1
19-May-2005,139,1.71,30.63,58.68,4.33,,0.07,19.3
20-May-2005,140,1.52,24.28,77.38,3.83,,0.08,
21-May-2005,141,0.97,19.73,97.86,2.81,,0.09,
22-May-2005,142,0.93,20.17,97.31,1.03,,0.10,
23-May-2005,143,1.09,23.63,74.55,2.81,,0.10,23.3
24-May-2005,144,1.49,21.13,75.96,3.32,,0.10,
25-May-2005,145,1.47,20.16,65.26,3.57,,0.11,
26-May-2005,146,1.39,18.21,68.00,3.32,,0.11,23.4
27-May-2005,147,1.30,16.76,86.69,2.30,,0.11,
28-May-2005,148,1.34,20.11,74.49,2.81,,0.11,
29-May-2005,149,1.42,23.04,53.77,4.59,,0.11,23.5
30-May-2005,150,1.16,26.19,42.32,4.84,,0.12,
31-May-2005,151,1.45,29.30,45.13,4.84,,0.12,19.9
1-Jun-2005,152,0.89,27.51,67.63,3.32,,0.14,18.6
2-Jun-2005,153,1.13,20.80,96.94,1.50,18.16,0.17,
3-Jun-2005,154,0.92,24.00,66.21,4.30,,0.18,
4-Jun-2005,155,2.07,23.40,80.65,3.80,11.05,0.19,
5-Jun-2005,156,0.92,25.73,66.64,4.08,,0.20,
6-Jun-2005,157,1.00,28.02,63.05,4.59,,0.22,
7-Jun-2005,158,1.20,28.02,60.66,4.84,,0.24,
8-Jun-2005,159,1.49,24.84,53.56,5.35,,0.26,
9-Jun-2005,160,1.04,22.38,66.16,4.08,,0.27,
10-Jun-2005,161,1.11,23.40,65.53,4.08,,0.29,
11-Jun-2005,162,1.10,25.51,64.89,4.33,,0.31,
12-Jun-2005,163,1.06,24.32,80.55,3.32,5.61,0.33,12.9
13-Jun-2005,164,0.63,17.34,95.00,0.52,11.43,0.34,
14-Jun-2005,165,2.01,23.14,70.00,4.84,,0.36,
15-Jun-2005,166,1.41,24.72,59.17,4.84,,0.38,
16-Jun-2005,167,2.80,25.67,57.66,5.86,,0.40,
17-Jun-2005,168,1.17,24.79,48.67,5.10,,0.41,12.9
18-Jun-2005,169,1.26,25.89,48.78,4.59,,0.43,
19-Jun-2005,170,1.68,25.73,44.25,5.86,,0.45,
20-Jun-2005,171,1.26,25.33,45.90,5.35,,0.47,15.1
21-Jun-2005,172,1.10,26.71,46.44,5.35,,0.48,
22-Jun-2005,173,1.07,28.38,41.97,5.60,,0.50,
23-Jun-2005,174,1.08,29.34,40.47,5.60,,0.52,12.9
24-Jun-2005,175,1.22,32.44,36.20,5.77,,0.54,
25-Jun-2005,176,1.10,35.48,36.59,5.77,,0.55,
26-Jun-2005,177,1.17,36.98,38.86,6.02,,0.57,
27-Jun-2005,178,1.24,38.36,34.60,6.02,,0.59,12.9
28-Jun-2005,179,1.23,35.35,32.30,6.27,,0.61,16.7
29-Jun-2005,180,0.90,20.20,93.00,1.00,19.1,0.62,
30-Jun-2005,181,1.25,35.00,35.41,5.50,,0.64,17.5
1-Jul-2005,182,1.04,35.94,38.58,5.77,,0.66,
2-Jul-2005,183,1.18,36.21,37.19,6.02,,0.68,
3-Jul-2005,184,1.05,36.72,40.96,6.02,,0.69,
4-Jul-2005,185,1.37,36.30,44.86,7.29,,0.71,
5-Jul-2005,186,1.01,33.73,53.92,6.53,,0.73,16.7
6-Jul-2005,187,1.44,29.00,55.32,6.53,,0.75,17.5
7-Jul-2005,188,1.09,29.92,37.15,6.78,,0.76,
8-Jul-2005,189,1.30,33.39,32.20,7.29,,0.78,
9-Jul-2005,190,0.97,36.16,32.60,6.53,,0.80,
10-Jul-2005,191,1.23,32.12,45.59,6.27,,0.80,22.3
11-Jul-2005,192,1.08,33.09,33.52,6.78,,0.80,24.0
12-Jul-2005,193,1.76,27.31,59.98,5.77,,0.80,
13-Jul-2005,194,1.12,30.63,45.32,6.00,,0.80,
14-Jul-2005,195,1.21,32.90,34.94,6.78,,0.80,
15-Jul-2005,196,1.13,32.94,39.62,6.53,,0.80,
16-Jul-2005,197,1.00,33.51,36.39,6.27,,0.80,
17-Jul-2005,198,1.55,32.71,36.01,7.04,,0.80,33.1
18-Jul-2005,199,1.37,29.26,39.41,6.27,,0.80,
19-Jul-2005,200,1.06,32.30,38.96,6.27,,0.80,
20-Jul-2005,201,1.14,35.07,36.50,6.53,,0.80,
21-Jul-2005,202,1.12,37.99,37.44,6.78,,0.80,
22-Jul-2005,203,1.05,38.42,41.92,6.27,,0.80,
23-Jul-2005,204,1.22,41.11,36.03,7.29,,0.80,32.4
24-Jul-2005,205,1.34,38.81,35.71,7.29,,0.80,
25-Jul-2005,206,1.38,37.14,31.24,7.54,,0.80,32.4
26-Jul-2005,207,1.29,36.34,35.73,7.04,,0.80,
27-Jul-2005,208,1.19,37.31,37.73,6.78,,0.80,
28-Jul-2005,209,1.37,31.22,49.24,4.59,,0.80,19.5
29-Jul-2005,210,1.61,29.83,38.78,5.64,,0.80,
30-Jul-2005,211,1.92,24.58,50.75,5.48,,0.80,
31-Jul-2005,212,1.34,24.91,52.31,4.72,,0.80,39.5
1-Aug-2005,213,1.29,27.49,45.83,4.72,,0.80,
2-Aug-2005,214,1.19,29.52,41.67,4.97,,0.80,
3-Aug-2005,215,1.08,31.25,38.48,4.84,,0.80,
4-Aug-2005,216,1.30,31.72,31.12,5.48,,0.80,
5-Aug-2005,217,1.28,32.34,34.52,5.73,,0.80,
6-Aug-2005,218,1.14,34.32,36.07,5.35,,0.80,
7-Aug-2005,219,1.23,36.77,36.37,5.73,,0.80,
8-Aug-2005,220,1.32,31.17,54.47,3.57,5.1,0.80,
9-Aug-2005,221,1.17,31.26,52.90,4.84,,0.80,44.8
10-Aug-2005,222,1.21,31.75,47.34,4.08,,0.80,
11-Aug-2005,223,1.14,27.00,50.36,4.46,,0.80,
12-Aug-2005,224,1.23,29.28,43.37,4.72,,0.80,
13-Aug-2005,225,1.20,31.19,38.46,4.46,,0.80,
14-Aug-2005,226,1.12,34.33,34.31,4.72,,0.80,
15-Aug-2005,227,1.20,31.79,42.16,4.84,,0.80,
16-Aug-2005,228,1.21,29.07,46.85,4.46,,0.80,
17-Aug-2005,229,1.00,30.94,45.78,3.95,,0.80,
18-Aug-2005,230,1.14,32.10,38.51,4.84,,0.80,43.6
19-Aug-2005,231,1.09,33.94,34.99,4.97,,0.80,
20-Aug-2005,232,1.10,34.57,36.21,4.84,,0.80,
21-Aug-2005,233,0.93,34.73,41.03,3.83,,0.80,
22-Aug-2005,234,1.08,33.88,39.91,4.72,,0.80,
23-Aug-2005,235,1.52,30.33,40.37,4.97,,0.80,
24-Aug-2005,236,0.97,26.20,56.26,3.06,,0.80,
25-Aug-2005,237,1.09,30.28,44.17,4.21,18.9,0.80,
26-Aug-2005,238,1.05,32.77,38.29,4.33,,0.80,
27-Aug-2005,239,1.10,34.53,36.98,4.33,,0.80,
28-Aug-2005,240,0.95,34.68,39.60,3.95,,0.80,
29-Aug-2005,241,1.84,26.81,48.80,4.84,,0.80,
30-Aug-2005,242,1.65,23.02,51.06,3.70,,0.80,50.3
31-Aug-2005,243,1.31,23.98,48.29,3.32,,0.80,
1-Sep-2005,244,1.07,28.50,38.01,3.70,,0.80,
2-Sep-2005,245,0.92,31.24,35.95,3.45,,0.80,
3-Sep-2005,246,1.00,31.00,40.49,3.32,,0.80,
4-Sep-2005,247,1.27,35.49,35.33,4.21,,0.80,
5-Sep-2005,248,1.24,33.61,43.99,3.57,,0.80,
6-Sep-2005,249,1.22,35.32,38.27,3.95,,0.80,
7-Sep-2005,250,1.14,32.37,41.94,3.45,,0.80,
8-Sep-2005,251,1.04,31.48,44.67,3.32,,0.80,20.6
9-Sep-2005,252,1.27,25.88,52.55,3.32,,0.80,
10-Sep-2005,253,1.17,26.37,47.13,2.94,,0.80,
11-Sep-2005,254,1.25,28.48,43.83,2.94,,0.80,
12-Sep-2005,255,1.08,31.61,40.58,3.19,,0.80,
13-Sep-2005,256,1.52,25.87,44.79,3.32,,0.80,10.5
14-Sep-2005,257,1.49,18.19,64.61,1.92,5.1,0.80,
15-Sep-2005,258,2.10,21.00,47.32,2.94,,0.80,
16-Sep-2005,259,1.20,23.00,47.32,2.94,,0.80,
17-Sep-2005,260,1.05,21.00,47.32,2.94,,0.80,
18-Sep-2005,261,0.80,22.50,47.32,2.94,,0.80,
19-Sep-2005,262,1.20,27.20,47.32,2.94,,0.80,
20-Sep-2005,263,1.30,28.30,47.32,2.94,,0.80,10.8
21-Sep-2005,264,2.10,29.20,48.87,2.50,,0.80,
22-Sep-2005,265,0.79,22.05,50.42,2.47,,0.80,
23-Sep-2005,266,0.60,23.80,51.97,2.42,,0.80,
24-Sep-2005,267,1.31,24.60,53.52,2.35,,0.80,
25-Sep-2005,268,1.60,26.10,55.07,2.27,,0.80,10.3
26-Sep-2005,269,1.20,25.00,56.62,2.23,,0.80,
27-Sep-2005,270,1.65,29.20,58.17,2.16,,0.80,
28-Sep-2005,271,1.89,26.30,59.72,2.11,,0.80,
29-Sep-2005,272,2.30,25.00,61.27,2.11,,0.80,
30-Sep-2005,273,3.20,24.60,62.82,2.07,,0.80,
1-Oct-2005,274,1.20,25.00,64.37,2.05,,0.80,
2-Oct-2005,275,2.10,24.90,63.10,1.99,,0.80,
